host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5,leader_boot_session_id,leader_sample_sequence,leader_sample_gap_ms,leader_sample_age_ms,leader_response_mask,leader_model_mask,leader_torque_off_mask,leader_calibration_crc32,leader_read_errors,leader_torque_errors,leader_rssi_dbm,leader_recovery_count,control_chain_ack_latency_ms
10504.182210757,1890068650,56,55,1,0,19,66.2966330000927,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,523,33.060036001188564,0.3147919996990822,63,63,63,2637611057,0,0,-39,0,66.72357000024931
10504.215687707,1890068650,57,57,1,0,5,33.001238998622284,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,525,33.56057599921769,0.3166839996993076,63,63,63,2637611057,0,0,-39,0,33.43023699926562
10504.282281526,1890068650,59,58,1,0,19,66.11708600030397,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,528,33.47671899973648,0.31559300077788066,63,63,63,2637611057,0,0,-39,0,66.547337000884
10504.315490048,1890068650,60,60,1,0,5,32.729419001043425,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,531,33.40517000106047,0.32309299967892,63,63,63,2637611057,0,0,-39,0,33.16405199984729
10504.38216799,1890068650,62,61,1,0,23,66.25419499869167,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,532,33.20428799997899,0.29795699992973823,63,63,63,2637611057,0,0,-39,0,66.63770599880081
10504.415681607,1890068650,63,63,1,0,5,33.114982999904896,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,536,33.560558998942724,0.2853720015991712,63,63,63,2637611057,0,0,-39,0,33.47159600161831
10504.482412973,1890068650,65,64,1,0,17,66.24872500105994,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,538,33.51823200137005,0.32051999914983753,63,63,63,2637611057,0,0,-39,0,66.68472999990627
10504.515696514,1890068650,66,66,1,0,5,32.79597099935927,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,541,33.55274499881489,0.3211230014130706,63,63,63,2637611057,0,0,-39,0,33.235711000088486
10504.582155351,1890068650,68,67,1,0,17,65.97408999914478,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,543,33.282417000009445,0.32184100018639583,63,63,63,2637611057,0,0,-39,0,66.41213100010646
10504.615685454,1890068650,69,68,1,0,38,66.21671399989282,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,544,33.20961000099487,0.3874140002153581,63,63,63,2637611057,0,0,-39,0,66.73262399999658
10504.64910565,1890068650,70,70,1,0,16,32.939695000095526,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,548,33.66232400003355,0.1890599996841047,63,63,63,2637611057,0,0,-39,0,33.23153400015144
10504.715718684,1890068650,72,71,1,0,36,66.11915299981774,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,549,33.288290000200504,0.32811799974297173,63,63,63,2637611057,0,0,-39,0,66.55627799955255
10504.782383618,1890068650,74,73,1,0,17,66.17920499957108,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,553,33.48245899906033,0.3220039998268476,63,63,63,2637611057,0,0,-39,0,66.6184740002791
