host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5
24051.156043896,3597147943,63,62,1,0,13,66.48296799903619,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.256021731,3597147943,66,65,1,0,4,66.66679900081363,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.355968169,3597147943,69,68,1,0,10,66.5028390030784,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.455931664,3597147943,72,71,1,0,9,66.65523899937398,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.555901387,3597147943,75,74,1,0,9,66.62036499983515,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.655958748,3597147943,78,77,1,0,9,66.68579600227531,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.755950103,3597147943,81,80,1,0,9,66.69491199863842,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.855867129,3597147943,84,83,1,0,9,66.60962699970696,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.955953282,3597147943,87,86,1,0,13,66.38974499946926,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.055923511,3597147943,90,89,1,0,9,66.62738700106274,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.156011645,3597147943,93,92,1,0,12,66.64201700186823,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.256027204,3597147943,96,95,1,0,9,66.8025970007875,-38,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.355885564,3597147943,99,98,1,0,9,66.57966899729217,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.455913966,3597147943,102,101,1,0,9,66.694857996481,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.555976275,3597147943,105,104,1,0,9,66.75002499832772,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.655931089,3597147943,108,107,1,0,9,66.63532799939276,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.755967388,3597147943,111,110,1,0,9,66.72030200206791,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.855969603,3597147943,114,113,1,0,9,66.6990009995061,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24052.956144823,3597147943,117,116,1,0,9,66.6313910005556,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.055921091,3597147943,120,119,1,0,9,66.52443100028904,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.156050571,3597147943,123,122,1,0,9,66.80038700142177,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.255947427,3597147943,126,125,1,0,13,66.58536099712364,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.355959297,3597147943,129,128,1,0,10,66.658246996667,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.456062806,3597147943,132,131,1,0,5,66.72458600223763,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.555933571,3597147943,135,133,1,0,46,99.6635570008948,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.655960317,3597147943,138,137,1,0,10,66.70084500001394,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.755888264,3597147943,141,140,1,0,9,66.61906400040607,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24053.855873914,3597147943,144,143,1,0,9,66.64227899818798,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
